,player_name,win_count
0,"Karpov, Anatoly",20
1,"Kasimdzhanov,R",11
2,"Macieja,B",9
3,"Kortschnoj, Viktor",8
4,"Kramnik,V",8
5,"Ponomariov,R",7
6,"Grischuk,A",7
7,"Khalifman, Alexander",6
8,"Short, Nigel D",5
9,"Sulskis,S",5
10,"Ehlvest,J",5
11,"Kasparov, Gary",5
12,"Akopian, Vladimir",5
13,"Dominguez,L",5
14,"Nisipeanu, Liviu Dieter",4
15,"Tkachiev, Vladislav",4
16,"Nakamura,H",4
17,"Volkov,S",4
18,"Filippov,Va",4
19,"Gelfand,B",4
20,Ni Hua,4
21,"Tiviakov,S",3
22,"Leko,P",3
23,"Kozul,Z",3
24,"Kindermann, Stefan",3
25,"Acs,P",3
26,"Kharlov,A",3
27,"Nataf,IA",3
28,"Morozevich,A",3
29,"Tkachiev,V",3
30,"Milov, Vadim",3
31,"Spassky, Boris V",3
32,"Felgaer,R",3
33,"Smirnov,P",3
34,"Kamsky, Gata",3
35,"Hamdouchi,H",3
36,"Anastasian,A",3
37,"Svidler,P",3
38,"Leitao,R",3
39,"Shaked, Tal",3
40,"Milos, Gilberto",3
41,"Anand,V",3
42,"Fridman, Daniel",2
43,Peng Xiaomin,2
44,"Istratescu, Andrei",2
45,"Miladinovic, Igor",2
46,"Lautier, Joel",2
47,"Nielsen, Peter Heine",2
48,"Anand, Viswanathan",2
49,"Adianto,U",2
50,"Almasi, Zoltan",2
51,"Piket, Jeroen",2
52,"Shirov,A",2
53,"Magem Badals, Jorge",2
54,"Motylev,A",2
55,Nguyen Anh Dung,2
56,"Krasenkow,M",2
57,"Yermolinsky,A",2
58,"Ghaem Maghami,E",2
59,"Baginskaite,C",2
60,"Kritz,L",2
61,"Harikrishna,P",2
62,"Sakaev,K",2
63,"Barua, Dibyendu",2
64,"Lautier,J",2
65,"Timman, Jan H",2
66,"Azmaiparashvili,Z",2
67,"Dolmatov, Sergey",2
68,"Gurevich,M",2
69,"Bruzon,L",2
70,"Lastin,A",2
71,"Almasi,Z",2
72,"Epishin, Vladimir",2
73,"Aronian, Levon",2
74,Zhang Pengxiang,2
75,"Dizdarevic,E",2
76,"Dreev,A",2
77,"Milov,V",2
78,"Iordachescu,V",2
79,"Adams, Michael",2
80,"Svidler, Peter",1
81,"Ivanchuk,V",1
82,"Van Wely, Loek",1
83,"Kacheishvili,G",1
84,"Vladimirov,E",1
85,"Ivanov,AV",1
86,"Kotsur, Pavel",1
87,"Benjamin,Joe",1
88,Yu Shaoteng,1
89,"Glek, Igor V",1
90,"Zvjaginsev,V",1
91,"Ponomariov, Ruslan",1
92,"Pina,S",1
93,Ye Jiangchuan,1
94,"Gretarsson, Helgi Ass",1
95,"Bauer, Christian",1
96,"Asrian, Karen",1
97,"Kobese,W",1
98,"Seirawan, Yasser",1
99,"Radziewicz,I",1
100,"Ciuksyte,D",1
101,"Campora,D",1
102,"Gurevich, Dmitry",1
103,"Kurajica, Bojan",1
104,"Savchenko,S",1
105,"Volokitin,A",1
106,"Malakhov,V",1
107,"Zelcic, Robert",1
108,"Radjabov,T",1
109,"Wojtkiewicz,A",1
110,"Dreev, Alexey",1
111,"Bareev,E",1
112,"Khenkin,I",1
113,"Mahjoob,M",1
114,"Garcia, Gildardo",1
115,"Aleksandrov,A",1
116,"Tiviakov, Sergei",1
117,"Luther, Thomas",1
118,"Khalifman,A",1
119,"Sasikiran,K",1
120,"Shabalov,A",1
121,"Zapata,A",1
122,"Georgiev, Kiril",1
123,"Paragua,M",1
124,"Rodriguez, Andres",1
125,"Zubarev, Alexander",1
126,"El Taher,F",1
127,"Miles, Anthony J",1
128,"Krasenkow, Michal",1
129,"Vescovi,G",1
130,"Movsesian, Sergei",1
131,"Delchev,A",1
132,"Tregubov,P",1
133,"Inarkiev,E",1
134,"Kobalija, Mihail",1
135,"Vasquez,R",1
136,"Moiseenko,A",1
137,"Sokolov, Ivan",1
138,"Psakhis,L",1
139,"Touzane,O",1
140,"Guseinov,G",1
141,"Macieja, Bartlomiej",1
142,"Aronian,L",1
143,Dao Thien Hai,1
144,"Villamayor,B",1
145,"Kaidanov, Grigory S",1
146,"Gulko,B",1
147,"Akesson, Ralf",1
148,"Azmaiparashvili, Zurab",1
149,"Karjakin, Sergey",1
150,"Vaganian,R",1
151,"Psakhis, Lev",1
152,"Slobodjan, Roman",1
153,"Lputian,S",1
